team_id,canonical_name
arsenal,Arsenal
aston_villa,Aston Villa
birmingham,Birmingham City
blackburn,Blackburn Rovers
blackpool,Blackpool
bolton,Bolton Wanderers
bournemouth,AFC Bournemouth
brentford,Brentford
brighton,Brighton & Hove Albion
burnley,Burnley
cardiff,Cardiff City
chelsea,Chelsea
crystal_palace,Crystal Palace
everton,Everton
fulham,Fulham
huddersfield,Huddersfield Town
hull,Hull City
ipswich,Ipswich Town
leeds,Leeds United
leicester,Leicester City
liverpool,Liverpool
luton,Luton Town
man_city,Manchester City
man_united,Manchester United
middlesbrough,Middlesbrough
newcastle,Newcastle United
norwich,Norwich City
nottingham_forest,Nottingham Forest
qpr,Queens Park Rangers
reading,Reading
sheffield_united,Sheffield United
southampton,Southampton
stoke,Stoke City
sunderland,Sunderland
swansea,Swansea City
tottenham,Tottenham Hotspur
watford,Watford
west_brom,West Bromwich Albion
west_ham,West Ham United
wigan,Wigan Athletic
wolves,Wolverhampton Wanderers
